temps POB
3 0.945127948324194
6 0.902481744054066
9 0.98713091792873
12 1.056260623361
15 1.11517633062427
18 1.11881265697016
21 1.06665334337117
24 1.07236373337438
27 1.12318652774978
30 1.22427249877914
33 1.30589868628647
36 1.22174501148314
39 1.35795493369221
42 1.37051190669716
45 1.52561034521157
48 1.4558034024147
51 1.4322625979147
54 1.5410887608917
57 1.65918073519423
60 1.59863891992242
63 1.65893614747961
66 1.78335521565981
69 1.79340304563493
72 1.85434314472479
75 1.81849786618858
78 2.00382248940669
81 1.98036797125309
84 2.01484129034224
87 2.21866620836847
90 2.17638834035756
93 2.28028476031607
96 2.35814961830933
99 2.31684357464046
102 2.43969826504905
105 2.61295250910235
108 2.67936515558442
111 2.68555338554827
114 2.81379603868736
117 2.91680692150221
120 3.06616754462127
123 3.08138710497003
126 3.26395453018369
129 3.22011546054366
132 3.33178856473626
135 3.53361025689812
138 3.62692758644485
141 3.6273784159634
144 3.76415251996981
147 3.85077183577054
150 4.02989607877671
153 4.11361341391885
156 4.26455724414957
159 4.40560100889562
162 4.49267852492452
165 4.6428412907569
168 4.81681752481896
171 4.96602356928658
174 5.14606811950651
177 5.26591176852054
180 5.52564544177485
183 5.5386142264615
186 5.79328868657456
189 5.93817191073365
192 6.09156527183569
195 6.37400727252135
198 6.57830651949512
201 6.7121663435189
204 6.90885862613222
207 7.19742413263292
210 7.32771489137694
213 7.6359581981482
216 7.77030095741266
219 8.02217349084917
222 8.34258320639727
225 8.508434966896
228 8.83750943489784
231 9.04625889907628
234 9.34443767584821
237 9.56457369246481
240 9.92320635794621
243 10.2335060889103
246 10.5218264610062
249 10.8710093638846
252 11.2083139429467
255 11.5497483569094
258 11.9265611964299
261 12.2375251317874
264 12.570479879202
267 12.9603592036769
270 13.4469751520109
273 13.7751011449751
276 14.2499946991847
279 14.7148615121277
282 15.0643339288096
285 15.5130907417268
288 16.0809212193481
291 16.5086377124968
294 17.0211271113954
297 17.5260274258271
300 18.0068282737217
